Year,State,Cause,Death_Count
2017,South Australia,Parkinson's disease,165
2017,South Australia,Poisonings,97
2017,South Australia,Protein-energy malnutrition,3
2017,South Australia,Road injuries,128
2017,South Australia,Self-harm,226
2017,South Australia,Terrorism (deaths),0
2017,South Australia,Tuberculosis,6
2017,Tasmania,Acute hepatitis,7
2017,Tasmania,Alcohol use disorders,10
2017,Tasmania,Alzheimer's disease and other dementias,83
2017,Tasmania,Cardiovascular diseases,1240
2017,Tasmania,Chronic kidney disease,46
2017,Tasmania,Chronic respiratory diseases,279
2017,Tasmania,Cirrhosis and other chronic liver diseases,84
2017,Tasmania,Conflict and terrorism,0
2017,Tasmania,Diabetes mellitus,167
2017,Tasmania,Diarrheal diseases,9
2017,Tasmania,Digestive diseases,208
2017,Tasmania,Drowning,5
2017,Tasmania,Drug use disorders,1
2017,Tasmania,Environmental heat and cold exposure,0
2017,Tasmania,Exposure to forces of nature,3
2017,Tasmania,"Fire, heat, and hot substances",2
2017,Tasmania,HIV/AIDS,6
2017,Tasmania,Interpersonal violence,6
2017,Tasmania,Lower respiratory infections,128
2017,Tasmania,Malaria,0
2017,Tasmania,Maternal disorders,0
2017,Tasmania,Meningitis,0
2017,Tasmania,Neonatal disorders,22
2017,Tasmania,Neoplasms,1353
2017,Tasmania,Nutritional deficiencies,6
2017,Tasmania,Parkinson's disease,60
2017,Tasmania,Poisonings,35
2017,Tasmania,Protein-energy malnutrition,3
2017,Tasmania,Road injuries,50
2017,Tasmania,Self-harm,109
2017,Tasmania,Terrorism (deaths),0
2017,Tasmania,Tuberculosis,2
2017,Victoria,Acute hepatitis,39
2017,Victoria,Alcohol use disorders,61
2017,Victoria,Alzheimer's disease and other dementias,1315
2017,Victoria,Cardiovascular diseases,11168
2017,Victoria,Chronic kidney disease,679
2017,Victoria,Chronic respiratory diseases,2068
2017,Victoria,Cirrhosis and other chronic liver diseases,444
2017,Victoria,Conflict and terrorism,0
2017,Victoria,Diabetes mellitus,1170
2017,Victoria,Diarrheal diseases,84
2017,Victoria,Digestive diseases,1487
2017,Victoria,Drowning,26
2017,Victoria,Drug use disorders,12
2017,Victoria,Environmental heat and cold exposure,9
2017,Victoria,Exposure to forces of nature,10
2017,Victoria,"Fire, heat, and hot substances",11
2017,Victoria,HIV/AIDS,31
2017,Victoria,Interpersonal violence,53
2017,Victoria,Lower respiratory infections,1330
2017,Victoria,Malaria,4
2017,Victoria,Maternal disorders,3
2017,Victoria,Meningitis,6
2017,Victoria,Neonatal disorders,158
2017,Victoria,Neoplasms,11608
2017,Victoria,Nutritional deficiencies,25
2017,Victoria,Parkinson's disease,438
2017,Victoria,Poisonings,418
2017,Victoria,Protein-energy malnutrition,24
2017,Victoria,Road injuries,315
2017,Victoria,Self-harm,710
2017,Victoria,Terrorism (deaths),0
2017,Victoria,Tuberculosis,10
2017,Western Australia,Acute hepatitis,19
2017,Western Australia,Alcohol use disorders,20
2017,Western Australia,Alzheimer's disease and other dementias,528
2017,Western Australia,Cardiovascular diseases,3621
2017,Western Australia,Chronic kidney disease,182
2017,Western Australia,Chronic respiratory diseases,694
2017,Western Australia,Cirrhosis and other chronic liver diseases,180
2017,Western Australia,Conflict and terrorism,0
2017,Western Australia,Diabetes mellitus,484
2017,Western Australia,Diarrheal diseases,23
2017,Western Australia,Digestive diseases,505
2017,Western Australia,Drowning,24
2017,Western Australia,Drug use disorders,3
2017,Western Australia,Environmental heat and cold exposure,4
2017,Western Australia,Exposure to forces of nature,6
2017,Western Australia,"Fire, heat, and hot substances",9
2017,Western Australia,HIV/AIDS,10
2017,Western Australia,Interpersonal violence,28
2017,Western Australia,Lower respiratory infections,298
2017,Western Australia,Malaria,0
2017,Western Australia,Maternal disorders,3
2017,Western Australia,Meningitis,5
2017,Western Australia,Neonatal disorders,46
2017,Western Australia,Neoplasms,4405
2017,Western Australia,Nutritional deficiencies,11
2017,Western Australia,Parkinson's disease,186
2017,Western Australia,Poisonings,202
2017,Western Australia,Protein-energy malnutrition,10
2017,Western Australia,Road injuries,192
2017,Western Australia,Self-harm,418
2017,Western Australia,Terrorism (deaths),0
2017,Western Australia,Tuberculosis,4
2018,Australian Capital Territory,Acute hepatitis,3
2018,Australian Capital Territory,Alcohol use disorders,2
2018,Australian Capital Territory,Alzheimer's disease and other dementias,34
2018,Australian Capital Territory,Cardiovascular diseases,543
2018,Australian Capital Territory,Chronic kidney disease,23
2018,Australian Capital Territory,Chronic respiratory diseases,117
2018,Australian Capital Territory,Cirrhosis and other chronic liver diseases,31
2018,Australian Capital Territory,Conflict and terrorism,0
2018,Australian Capital Territory,Diabetes mellitus,78
2018,Australian Capital Territory,Diarrheal diseases,6
2018,Australian Capital Territory,Digestive diseases,87
2018,Australian Capital Territory,Drowning,3
2018,Australian Capital Territory,Drug use disorders,0
2018,Australian Capital Territory,Environmental heat and cold exposure,0
2018,Australian Capital Territory,Exposure to forces of nature,2
2018,Australian Capital Territory,"Fire, heat, and hot substances",1
2018,Australian Capital Territory,HIV/AIDS,0
2018,Australian Capital Territory,Interpersonal violence,3
2018,Australian Capital Territory,Lower respiratory infections,37
2018,Australian Capital Territory,Malaria,0
2018,Australian Capital Territory,Maternal disorders,0
2018,Australian Capital Territory,Meningitis,0
2018,Australian Capital Territory,Neonatal disorders,12
2018,Australian Capital Territory,Neoplasms,609
2018,Australian Capital Territory,Nutritional deficiencies,1
2018,Australian Capital Territory,Parkinson's disease,24
2018,Australian Capital Territory,Poisonings,19
2018,Australian Capital Territory,Protein-energy malnutrition,2
2018,Australian Capital Territory,Road injuries,29
2018,Australian Capital Territory,Self-harm,48
2018,Australian Capital Territory,Terrorism (deaths),0
2018,Australian Capital Territory,Tuberculosis,2
2018,New South Wales,Acute hepatitis,60
2018,New South Wales,Alcohol use disorders,103
2018,New South Wales,Alzheimer's disease and other dementias,1279
2018,New South Wales,Cardiovascular diseases,14715
2018,New South Wales,Chronic kidney disease,703
2018,New South Wales,Chronic respiratory diseases,2696
2018,New South Wales,Cirrhosis and other chronic liver diseases,660
2018,New South Wales,Conflict and terrorism,0
2018,New South Wales,Diabetes mellitus,1607
2018,New South Wales,Diarrheal diseases,85
2018,New South Wales,Digestive diseases,2024
2018,New South Wales,Drowning,64
2018,New South Wales,Drug use disorders,8
2018,New South Wales,Environmental heat and cold exposure,6
2018,New South Wales,Exposure to forces of nature,2
2018,New South Wales,"Fire, heat, and hot substances",16
2018,New South Wales,HIV/AIDS,27
2018,New South Wales,Interpersonal violence,72
2018,New South Wales,Lower respiratory infections,1043
2018,New South Wales,Malaria,0
2018,New South Wales,Maternal disorders,4
2018,New South Wales,Meningitis,6
2018,New South Wales,Neonatal disorders,170
2018,New South Wales,Neoplasms,15977
2018,New South Wales,Nutritional deficiencies,43
2018,New South Wales,Parkinson's disease,642
2018,New South Wales,Poisonings,491
2018,New South Wales,Protein-energy malnutrition,39
2018,New South Wales,Road injuries,416
2018,New South Wales,Self-harm,938
2018,New South Wales,Terrorism (deaths),0
2018,New South Wales,Tuberculosis,18
2018,Northern Territory,Acute hepatitis,1
2018,Northern Territory,Alcohol use disorders,2
2018,Northern Territory,Alzheimer's disease and other dementias,19
2018,Northern Territory,Cardiovascular diseases,299
2018,Northern Territory,Chronic kidney disease,13
2018,Northern Territory,Chronic respiratory diseases,65
2018,Northern Territory,Cirrhosis and other chronic liver diseases,16
2018,Northern Territory,Conflict and terrorism,0
2018,Northern Territory,Diabetes mellitus,42
2018,Northern Territory,Diarrheal diseases,3
2018,Northern Territory,Digestive diseases,48
2018,Northern Territory,Drowning,1
2018,Northern Territory,Drug use disorders,0
2018,Northern Territory,Environmental heat and cold exposure,0
2018,Northern Territory,Exposure to forces of nature,1
2018,Northern Territory,"Fire, heat, and hot substances",1
2018,Northern Territory,HIV/AIDS,0
2018,Northern Territory,Interpersonal violence,1
2018,Northern Territory,Lower respiratory infections,20
2018,Northern Territory,Malaria,0
2018,Northern Territory,Maternal disorders,0
2018,Northern Territory,Meningitis,0
2018,Northern Territory,Neonatal disorders,6
2018,Northern Territory,Neoplasms,335
2018,Northern Territory,Nutritional deficiencies,0
2018,Northern Territory,Parkinson's disease,14
2018,Northern Territory,Poisonings,11
2018,Northern Territory,Protein-energy malnutrition,1
2018,Northern Territory,Road injuries,17
2018,Northern Territory,Self-harm,27
2018,Northern Territory,Terrorism (deaths),0
2018,Northern Territory,Tuberculosis,1
2018,Queensland,Acute hepatitis,37
2018,Queensland,Alcohol use disorders,50
2018,Queensland,Alzheimer's disease and other dementias,690
2018,Queensland,Cardiovascular diseases,8143
2018,Queensland,Chronic kidney disease,311
2018,Queensland,Chronic respiratory diseases,1681
2018,Queensland,Cirrhosis and other chronic liver diseases,417
2018,Queensland,Conflict and terrorism,0
2018,Queensland,Diabetes mellitus,903
2018,Queensland,Diarrheal diseases,45
2018,Queensland,Digestive diseases,1184
2018,Queensland,Drowning,54
2018,Queensland,Drug use disorders,7
2018,Queensland,Environmental heat and cold exposure,3
2018,Queensland,Exposure to forces of nature,4
2018,Queensland,"Fire, heat, and hot substances",14
2018,Queensland,HIV/AIDS,7
2018,Queensland,Interpersonal violence,46
2018,Queensland,Lower respiratory infections,573
2018,Queensland,Malaria,0
2018,Queensland,Maternal disorders,1
2018,Queensland,Meningitis,8
2018,Queensland,Neonatal disorders,112
2018,Queensland,Neoplasms,9648
2018,Queensland,Nutritional deficiencies,21
2018,Queensland,Parkinson's disease,393
2018,Queensland,Poisonings,286
2018,Queensland,Protein-energy malnutrition,18
2018,Queensland,Road injuries,296
2018,Queensland,Self-harm,805
2018,Queensland,Terrorism (deaths),0
2018,Queensland,Tuberculosis,1
2018,South Australia,Acute hepatitis,9
2018,South Australia,Alcohol use disorders,17
2018,South Australia,Alzheimer's disease and other dementias,491
2018,South Australia,Cardiovascular diseases,3606
2018,South Australia,Chronic kidney disease,152
2018,South Australia,Chronic respiratory diseases,678
2018,South Australia,Cirrhosis and other chronic liver diseases,171
2018,South Australia,Conflict and terrorism,0
2018,South Australia,Diabetes mellitus,397
2018,South Australia,Diarrheal diseases,29
2018,South Australia,Digestive diseases,510
2018,South Australia,Drowning,5
2018,South Australia,Drug use disorders,0
2018,South Australia,Environmental heat and cold exposure,10
2018,South Australia,Exposure to forces of nature,8
2018,South Australia,"Fire, heat, and hot substances",2
2018,South Australia,HIV/AIDS,7
2018,South Australia,Interpersonal violence,14
2018,South Australia,Lower respiratory infections,285
2018,South Australia,Malaria,0
2018,South Australia,Maternal disorders,4
2018,South Australia,Meningitis,3
2018,South Australia,Neonatal disorders,31
2018,South Australia,Neoplasms,4077
2018,South Australia,Nutritional deficiencies,8
2018,South Australia,Parkinson's disease,138
2018,South Australia,Poisonings,89
2018,South Australia,Protein-energy malnutrition,8
2018,South Australia,Road injuries,92
2018,South Australia,Self-harm,209
2018,South Australia,Terrorism (deaths),0
2018,South Australia,Tuberculosis,4
2018,Tasmania,Acute hepatitis,6
2018,Tasmania,Alcohol use disorders,5
2018,Tasmania,Alzheimer's disease and other dementias,71
2018,Tasmania,Cardiovascular diseases,1129
2018,Tasmania,Chronic kidney disease,49
2018,Tasmania,Chronic respiratory diseases,244
2018,Tasmania,Cirrhosis and other chronic liver diseases,64
2018,Tasmania,Conflict and terrorism,0
2018,Tasmania,Diabetes mellitus,162
2018,Tasmania,Diarrheal diseases,12
2018,Tasmania,Digestive diseases,180
2018,Tasmania,Drowning,6
2018,Tasmania,Drug use disorders,1
2018,Tasmania,Environmental heat and cold exposure,0
2018,Tasmania,Exposure to forces of nature,5
2018,Tasmania,"Fire, heat, and hot substances",2
2018,Tasmania,HIV/AIDS,0
2018,Tasmania,Interpersonal violence,6
2018,Tasmania,Lower respiratory infections,77
2018,Tasmania,Malaria,0
2018,Tasmania,Maternal disorders,0
2018,Tasmania,Meningitis,0
2018,Tasmania,Neonatal disorders,25
2018,Tasmania,Neoplasms,1267
2018,Tasmania,Nutritional deficiencies,2
2018,Tasmania,Parkinson's disease,50
2018,Tasmania,Poisonings,40
2018,Tasmania,Protein-energy malnutrition,3
2018,Tasmania,Road injuries,61
2018,Tasmania,Self-harm,101
2018,Tasmania,Terrorism (deaths),0
2018,Tasmania,Tuberculosis,4
2018,Victoria,Acute hepatitis,27
2018,Victoria,Alcohol use disorders,43
2018,Victoria,Alzheimer's disease and other dementias,1278
2018,Victoria,Cardiovascular diseases,10696
2018,Victoria,Chronic kidney disease,626
2018,Victoria,Chronic respiratory diseases,1891
2018,Victoria,Cirrhosis and other chronic liver diseases,422
2018,Victoria,Conflict and terrorism,0
2018,Victoria,Diabetes mellitus,1091
2018,Victoria,Diarrheal diseases,71
2018,Victoria,Digestive diseases,1456
2018,Victoria,Drowning,30
2018,Victoria,Drug use disorders,5
2018,Victoria,Environmental heat and cold exposure,11
2018,Victoria,Exposure to forces of nature,10
2018,Victoria,"Fire, heat, and hot substances",13
2018,Victoria,HIV/AIDS,25
2018,Victoria,Interpersonal violence,61
2018,Victoria,Lower respiratory infections,990
2018,Victoria,Malaria,0
2018,Victoria,Maternal disorders,5
2018,Victoria,Meningitis,12
2018,Victoria,Neonatal disorders,144
2018,Victoria,Neoplasms,11781
2018,Victoria,Nutritional deficiencies,31
2018,Victoria,Parkinson's disease,499
2018,Victoria,Poisonings,387
2018,Victoria,Protein-energy malnutrition,26
2018,Victoria,Road injuries,301
2018,Victoria,Self-harm,689
2018,Victoria,Terrorism (deaths),0
2018,Victoria,Tuberculosis,14
2018,Western Australia,Acute hepatitis,11
2018,Western Australia,Alcohol use disorders,15
2018,Western Australia,Alzheimer's disease and other dementias,539
2018,Western Australia,Cardiovascular diseases,3607
2018,Western Australia,Chronic kidney disease,194
2018,Western Australia,Chronic respiratory diseases,665
2018,Western Australia,Cirrhosis and other chronic liver diseases,201
2018,Western Australia,Conflict and terrorism,0
2018,Western Australia,Diabetes mellitus,483
2018,Western Australia,Diarrheal diseases,23
2018,Western Australia,Digestive diseases,548
2018,Western Australia,Drowning,18
2018,Western Australia,Drug use disorders,8
2018,Western Australia,Environmental heat and cold exposure,6
2018,Western Australia,Exposure to forces of nature,5
2018,Western Australia,"Fire, heat, and hot substances",7
2018,Western Australia,HIV/AIDS,5
2018,Western Australia,Interpersonal violence,49
2018,Western Australia,Lower respiratory infections,252
2018,Western Australia,Malaria,0
2018,Western Australia,Maternal disorders,4
2018,Western Australia,Meningitis,1
2018,Western Australia,Neonatal disorders,44
2018,Western Australia,Neoplasms,4551
2018,Western Australia,Nutritional deficiencies,14
2018,Western Australia,Parkinson's disease,165
2018,Western Australia,Poisonings,221
2018,Western Australia,Protein-energy malnutrition,10
2018,Western Australia,Road injuries,177
2018,Western Australia,Self-harm,384
2018,Western Australia,Terrorism (deaths),0
2018,Western Australia,Tuberculosis,5
2019,Australian Capital Territory,Acute hepatitis,2
2019,Australian Capital Territory,Alcohol use disorders,5
2019,Australian Capital Territory,Alzheimer's disease and other dementias,40
2019,Australian Capital Territory,Cardiovascular diseases,548
2019,Australian Capital Territory,Chronic kidney disease,27
2019,Australian Capital Territory,Chronic respiratory diseases,131
2019,Australian Capital Territory,Cirrhosis and other chronic liver diseases,29
2019,Australian Capital Territory,Conflict and terrorism,0
2019,Australian Capital Territory,Diabetes mellitus,80
2019,Australian Capital Territory,Diarrheal diseases,7
2019,Australian Capital Territory,Digestive diseases,85
2019,Australian Capital Territory,Drowning,3
2019,Australian Capital Territory,Drug use disorders,2
2019,Australian Capital Territory,Environmental heat and cold exposure,1
2019,Australian Capital Territory,Exposure to forces of nature,2
2019,Australian Capital Territory,"Fire, heat, and hot substances",2
2019,Australian Capital Territory,HIV/AIDS,0
2019,Australian Capital Territory,Interpersonal violence,5
2019,Australian Capital Territory,Lower respiratory infections,48
2019,Australian Capital Territory,Malaria,0
2019,Australian Capital Territory,Maternal disorders,0
2019,Australian Capital Territory,Meningitis,0
2019,Australian Capital Territory,Neonatal disorders,7
2019,Australian Capital Territory,Neoplasms,637
2019,Australian Capital Territory,Nutritional deficiencies,3
2019,Australian Capital Territory,Parkinson's disease,26
2019,Australian Capital Territory,Poisonings,16
2019,Australian Capital Territory,Protein-energy malnutrition,3
2019,Australian Capital Territory,Road injuries,25
2019,Australian Capital Territory,Self-harm,58
2019,Australian Capital Territory,Terrorism (deaths),0
2019,Australian Capital Territory,Tuberculosis,1
2019,New South Wales,Acute hepatitis,58
2019,New South Wales,Alcohol use disorders,126
2019,New South Wales,Alzheimer's disease and other dementias,1370
2019,New South Wales,Cardiovascular diseases,14663
2019,New South Wales,Chronic kidney disease,803
2019,New South Wales,Chronic respiratory diseases,2851
2019,New South Wales,Cirrhosis and other chronic liver diseases,700
2019,New South Wales,Conflict and terrorism,0
2019,New South Wales,Diabetes mellitus,1655
2019,New South Wales,Diarrheal diseases,100
2019,New South Wales,Digestive diseases,2094
2019,New South Wales,Drowning,62
2019,New South Wales,Drug use disorders,18
2019,New South Wales,Environmental heat and cold exposure,11
2019,New South Wales,Exposure to forces of nature,14
2019,New South Wales,"Fire, heat, and hot substances",25
2019,New South Wales,HIV/AIDS,32
2019,New South Wales,Interpersonal violence,73
2019,New South Wales,Lower respiratory infections,1278
2019,New South Wales,Malaria,0
2019,New South Wales,Maternal disorders,6
2019,New South Wales,Meningitis,6
2019,New South Wales,Neonatal disorders,185
2019,New South Wales,Neoplasms,16714
2019,New South Wales,Nutritional deficiencies,56
2019,New South Wales,Parkinson's disease,739
2019,New South Wales,Poisonings,456
2019,New South Wales,Protein-energy malnutrition,48
2019,New South Wales,Road injuries,417
2019,New South Wales,Self-harm,963
2019,New South Wales,Terrorism (deaths),0
2019,New South Wales,Tuberculosis,10
2019,Northern Territory,Acute hepatitis,2
2019,Northern Territory,Alcohol use disorders,2
2019,Northern Territory,Alzheimer's disease and other dementias,21
2019,Northern Territory,Cardiovascular diseases,301
2019,Northern Territory,Chronic kidney disease,14
2019,Northern Territory,Chronic respiratory diseases,72
2019,Northern Territory,Cirrhosis and other chronic liver diseases,16
2019,Northern Territory,Conflict and terrorism,0
2019,Northern Territory,Diabetes mellitus,45
2019,Northern Territory,Diarrheal diseases,4
2019,Northern Territory,Digestive diseases,47
2019,Northern Territory,Drowning,2
2019,Northern Territory,Drug use disorders,1
2019,Northern Territory,Environmental heat and cold exposure,1
2019,Northern Territory,Exposure to forces of nature,1
2019,Northern Territory,"Fire, heat, and hot substances",1
2019,Northern Territory,HIV/AIDS,0
2019,Northern Territory,Interpersonal violence,3
2019,Northern Territory,Lower respiratory infections,27
2019,Northern Territory,Malaria,0
2019,Northern Territory,Maternal disorders,0
2019,Northern Territory,Meningitis,0
2019,Northern Territory,Neonatal disorders,5
2019,Northern Territory,Neoplasms,351
2019,Northern Territory,Nutritional deficiencies,1
2019,Northern Territory,Parkinson's disease,15
2019,Northern Territory,Poisonings,8
2019,Northern Territory,Protein-energy malnutrition,1
2019,Northern Territory,Road injuries,13
2019,Northern Territory,Self-harm,31
2019,Northern Territory,Terrorism (deaths),0
2019,Northern Territory,Tuberculosis,1
2019,Queensland,Acute hepatitis,23
2019,Queensland,Alcohol use disorders,45
2019,Queensland,Alzheimer's disease and other dementias,768
2019,Queensland,Cardiovascular diseases,8363
2019,Queensland,Chronic kidney disease,335
2019,Queensland,Chronic respiratory diseases,1699
2019,Queensland,Cirrhosis and other chronic liver diseases,431
2019,Queensland,Conflict and terrorism,0
2019,Queensland,Diabetes mellitus,954
2019,Queensland,Diarrheal diseases,69
2019,Queensland,Digestive diseases,1250
2019,Queensland,Drowning,71
2019,Queensland,Drug use disorders,12
2019,Queensland,Environmental heat and cold exposure,4
2019,Queensland,Exposure to forces of nature,6
2019,Queensland,"Fire, heat, and hot substances",10
2019,Queensland,HIV/AIDS,17
2019,Queensland,Interpersonal violence,58
2019,Queensland,Lower respiratory infections,731
2019,Queensland,Malaria,0
2019,Queensland,Maternal disorders,3
2019,Queensland,Meningitis,6
2019,Queensland,Neonatal disorders,139
2019,Queensland,Neoplasms,10110
2019,Queensland,Nutritional deficiencies,31
2019,Queensland,Parkinson's disease,430
2019,Queensland,Poisonings,245
2019,Queensland,Protein-energy malnutrition,27
2019,Queensland,Road injuries,314
2019,Queensland,Self-harm,803
2019,Queensland,Terrorism (deaths),0
2019,Queensland,Tuberculosis,5
2019,South Australia,Acute hepatitis,11
2019,South Australia,Alcohol use disorders,22
2019,South Australia,Alzheimer's disease and other dementias,492
2019,South Australia,Cardiovascular diseases,3584
2019,South Australia,Chronic kidney disease,177
2019,South Australia,Chronic respiratory diseases,703
2019,South Australia,Cirrhosis and other chronic liver diseases,178
2019,South Australia,Conflict and terrorism,0
2019,South Australia,Diabetes mellitus,389
2019,South Australia,Diarrheal diseases,32
2019,South Australia,Digestive diseases,538
2019,South Australia,Drowning,11
2019,South Australia,Drug use disorders,1
2019,South Australia,Environmental heat and cold exposure,13
2019,South Australia,Exposure to forces of nature,11
2019,South Australia,"Fire, heat, and hot substances",6
2019,South Australia,HIV/AIDS,4
2019,South Australia,Interpersonal violence,19
2019,South Australia,Lower respiratory infections,383
2019,South Australia,Malaria,0
2019,South Australia,Maternal disorders,1
2019,South Australia,Meningitis,3
2019,South Australia,Neonatal disorders,22
2019,South Australia,Neoplasms,4131
2019,South Australia,Nutritional deficiencies,9
2019,South Australia,Parkinson's disease,144
2019,South Australia,Poisonings,77
2019,South Australia,Protein-energy malnutrition,6
2019,South Australia,Road injuries,101
2019,South Australia,Self-harm,250
2019,South Australia,Terrorism (deaths),0
2019,South Australia,Tuberculosis,1
2019,Tasmania,Acute hepatitis,5
2019,Tasmania,Alcohol use disorders,10
2019,Tasmania,Alzheimer's disease and other dementias,83
2019,Tasmania,Cardiovascular diseases,1139
2019,Tasmania,Chronic kidney disease,56
2019,Tasmania,Chronic respiratory diseases,273
2019,Tasmania,Cirrhosis and other chronic liver diseases,60
2019,Tasmania,Conflict and terrorism,0
2019,Tasmania,Diabetes mellitus,167
2019,Tasmania,Diarrheal diseases,15
2019,Tasmania,Digestive diseases,177
2019,Tasmania,Drowning,7
2019,Tasmania,Drug use disorders,3
2019,Tasmania,Environmental heat and cold exposure,2
2019,Tasmania,Exposure to forces of nature,4
2019,Tasmania,"Fire, heat, and hot substances",4
2019,Tasmania,HIV/AIDS,1
2019,Tasmania,Interpersonal violence,10
2019,Tasmania,Lower respiratory infections,100
2019,Tasmania,Malaria,0
2019,Tasmania,Maternal disorders,0
2019,Tasmania,Meningitis,0
2019,Tasmania,Neonatal disorders,15
2019,Tasmania,Neoplasms,1326
2019,Tasmania,Nutritional deficiencies,6
2019,Tasmania,Parkinson's disease,55
2019,Tasmania,Poisonings,33
2019,Tasmania,Protein-energy malnutrition,6
2019,Tasmania,Road injuries,52
2019,Tasmania,Self-harm,120
2019,Tasmania,Terrorism (deaths),0
2019,Tasmania,Tuberculosis,2
2019,Victoria,Acute hepatitis,23
2019,Victoria,Alcohol use disorders,39
2019,Victoria,Alzheimer's disease and other dementias,1307
2019,Victoria,Cardiovascular diseases,10518
2019,Victoria,Chronic kidney disease,836
2019,Victoria,Chronic respiratory diseases,1918
2019,Victoria,Cirrhosis and other chronic liver diseases,496
2019,Victoria,Conflict and terrorism,0
2019,Victoria,Diabetes mellitus,1216
2019,Victoria,Diarrheal diseases,76
2019,Victoria,Digestive diseases,1531
2019,Victoria,Drowning,29
2019,Victoria,Drug use disorders,26
2019,Victoria,Environmental heat and cold exposure,12
2019,Victoria,Exposure to forces of nature,12
2019,Victoria,"Fire, heat, and hot substances",23
2019,Victoria,HIV/AIDS,15
2019,Victoria,Interpersonal violence,62
2019,Victoria,Lower respiratory infections,1216
2019,Victoria,Malaria,0
2019,Victoria,Maternal disorders,1
2019,Victoria,Meningitis,8
2019,Victoria,Neonatal disorders,114
2019,Victoria,Neoplasms,12071
2019,Victoria,Nutritional deficiencies,23
2019,Victoria,Parkinson's disease,488
2019,Victoria,Poisonings,397
2019,Victoria,Protein-energy malnutrition,20
2019,Victoria,Road injuries,321
2019,Victoria,Self-harm,735
2019,Victoria,Terrorism (deaths),0
2019,Victoria,Tuberculosis,18
2019,Western Australia,Acute hepatitis,10
2019,Western Australia,Alcohol use disorders,18
2019,Western Australia,Alzheimer's disease and other dementias,542
2019,Western Australia,Cardiovascular diseases,3587
2019,Western Australia,Chronic kidney disease,173
2019,Western Australia,Chronic respiratory diseases,746
2019,Western Australia,Cirrhosis and other chronic liver diseases,190
2019,Western Australia,Conflict and terrorism,0
2019,Western Australia,Diabetes mellitus,472
2019,Western Australia,Diarrheal diseases,26
2019,Western Australia,Digestive diseases,614
2019,Western Australia,Drowning,15
2019,Western Australia,Drug use disorders,1
2019,Western Australia,Environmental heat and cold exposure,9
2019,Western Australia,Exposure to forces of nature,10
2019,Western Australia,"Fire, heat, and hot substances",5
2019,Western Australia,HIV/AIDS,11
2019,Western Australia,Interpersonal violence,34
2019,Western Australia,Lower respiratory infections,404
2019,Western Australia,Malaria,0
2019,Western Australia,Maternal disorders,0
2019,Western Australia,Meningitis,0
2019,Western Australia,Neonatal disorders,46
2019,Western Australia,Neoplasms,4382
2019,Western Australia,Nutritional deficiencies,13
2019,Western Australia,Parkinson's disease,204
2019,Western Australia,Poisonings,246
2019,Western Australia,Protein-energy malnutrition,13
2019,Western Australia,Road injuries,195
2019,Western Australia,Self-harm,416
2019,Western Australia,Terrorism (deaths),0
2019,Western Australia,Tuberculosis,1
2020,Australian Capital Territory,Acute hepatitis,1
2020,Australian Capital Territory,Alcohol use disorders,3
2020,Australian Capital Territory,Alzheimer's disease and other dementias,46
2020,Australian Capital Territory,Cardiovascular diseases,543
2020,Australian Capital Territory,Chronic kidney disease,25
2020,Australian Capital Territory,Chronic respiratory diseases,117
2020,Australian Capital Territory,Cirrhosis and other chronic liver diseases,38
2020,Australian Capital Territory,Conflict and terrorism,0
2020,Australian Capital Territory,Diabetes mellitus,83
2020,Australian Capital Territory,Diarrheal diseases,4
2020,Australian Capital Territory,Digestive diseases,97
2020,Australian Capital Territory,Drowning,3
2020,Australian Capital Territory,Drug use disorders,0
2020,Australian Capital Territory,Environmental heat and cold exposure,2
2020,Australian Capital Territory,Exposure to forces of nature,2
2020,Australian Capital Territory,"Fire, heat, and hot substances",1
2020,Australian Capital Territory,HIV/AIDS,1
2020,Australian Capital Territory,Interpersonal violence,4
2020,Australian Capital Territory,Lower respiratory infections,28
2020,Australian Capital Territory,Malaria,0
2020,Australian Capital Territory,Maternal disorders,0
2020,Australian Capital Territory,Meningitis,0
2020,Australian Capital Territory,Neonatal disorders,15
2020,Australian Capital Territory,Neoplasms,634
2020,Australian Capital Territory,Nutritional deficiencies,0
2020,Australian Capital Territory,Parkinson's disease,27
2020,Australian Capital Territory,Poisonings,18
2020,Australian Capital Territory,Protein-energy malnutrition,0
2020,Australian Capital Territory,Road injuries,26
2020,Australian Capital Territory,Self-harm,55
2020,Australian Capital Territory,Terrorism (deaths),0
2020,Australian Capital Territory,Tuberculosis,0
2020,New South Wales,Acute hepatitis,45
2020,New South Wales,Alcohol use disorders,112
2020,New South Wales,Alzheimer's disease and other dementias,1347
2020,New South Wales,Cardiovascular diseases,13670
2020,New South Wales,Chronic kidney disease,860
2020,New South Wales,Chronic respiratory diseases,2485
2020,New South Wales,Cirrhosis and other chronic liver diseases,725
2020,New South Wales,Conflict and terrorism,0
2020,New South Wales,Diabetes mellitus,1737
2020,New South Wales,Diarrheal diseases,73
2020,New South Wales,Digestive diseases,2141
2020,New South Wales,Drowning,74
2020,New South Wales,Drug use disorders,11
2020,New South Wales,Environmental heat and cold exposure,10
2020,New South Wales,Exposure to forces of nature,11
2020,New South Wales,"Fire, heat, and hot substances",30
2020,New South Wales,HIV/AIDS,30
2020,New South Wales,Interpersonal violence,77
2020,New South Wales,Lower respiratory infections,722
2020,New South Wales,Malaria,0
